userName,score,content,at
Chris Nur,5,ok,2023-03-27 16:03:27
shadow_owl 82,5,Sangat membantu,2023-03-27 15:59:12
tata kmy,1,Ribet pake verifikasi muka segala udah kayak pinjol aja,2023-03-27 15:54:45
Jhoy Wae351,3,Susah buka rek baru.. selalu gagal masuk via sms peripikasi.. mohon di permudah,2023-03-27 15:39:23
Fidyah Romadhan,1,"Ribet bgt skrg harus verifikasi KTP dulu berkali"" gagal,tidak membantu, menyusahkan orang,",2023-03-27 14:58:13
Leoni Leoni,5,Sangat membantu sekali customer,2023-03-27 14:56:32
handika dio,1,Tim IT kyok taek Biometrik taek,2023-03-27 14:44:48
Maulidia Nurul,1,"mau mulihin kode akses aja susah banget,tolong dong yaelah udah tlpn halo bca juga suruhnya ngerjain sendiri,udah dikerjain sendiri stuck disitu berjam² payah bgt",2023-03-27 14:28:20
Bang Jen,5,Transaksi makin gampang😊,2023-03-27 14:25:27
Nur asiah sujoko Nur,5,Transaksi lebih mudah,2023-03-27 14:08:04
Selli Utami,1,Verifikasi wajah sudah di lakukan berulang kali berjam jam tapi tetep saja lingkaran merah......saya nasabah lama bca...tapi sekarang...Bca ruwettttt .....gak.akan pakai bca lagiiiiii.......!!!!!! cokkkkk,2023-03-27 14:02:54
FINCH FNR,5,Pelayanannya ramah dan terbaik,2023-03-27 13:42:24
Dheri Aziz,5,Ok,2023-03-27 13:26:34
Hendy Wijaya,1,Percuma telpon 1500888 sangat tidak membantu. Saya minta diaktifkan finansialnya malah sangat merepotkan dan akhirnya tetap harus ke kantor cabangnya. Cuma ngabisin pulsa doang. Sungguh kecewa,2023-03-27 12:39:48
ibra chanel,2,"Dulu pernah pakai m banking trus kehapus ,trus daftar lagi ko ngga bisa ya proses nya gagal terus dah coba berkali kali",2023-03-27 12:35:41
Masyadi Gubug,1,Sejak berlaku vermuk kenapa jadi mempersulit cuostumer udah jelas vermuk gagal langsng diblok makin jelek bcamobile,2023-03-27 12:05:22
Evin Jayadi,2,Tolong hapus data no rek BCA aku demi kenyamanan,2023-03-27 12:00:40
