username,content,sentiment
p023456,"@detikcom Gpp.. yg penting 946 org pegawai kemenkeu itu yg terlibat di 300 trilyun itu  dipenjara dulu, baru lapor spt.",Positif
masharyanto,"Seumpama Mario Dandy tidak berulah, akankan kemenkeu berubah?",Negatif
msaid_didu,"Sepertinya pengembangan opini akan kehebatan Ibu Sri Mulyani dimanfaatkan oleh pegawai kemenkeu yg nakal untuk ""merampok"" keuangan negara, sementara Bu Sri menikmati pujian tsb dan lalai mengawasi anak buah.",Positif
SaifuddinSay,@DIDIK_RODENT @03__nakula @ex_AnakLolina Persis kayak transaksi ilegal 349 triliun di Kemenkeu. Maling2nya diangkat jadi pejabat? 🤭,Negatif
transproyekata,@Partono_ADjem @DitjenPajakRI @KemenkeuRI Mereka ini juga gak kalah sengsara kerja lembur sampe malam kayak petugas pajak. Biji mata sama² melotot depan monitor harusnya dirayakan juga dengan apresiasi tinggi dari entah Kemenkeu atau dikbudnas.,Positif
rudijntm,"@RamliRizal Buktiin om rizal 349T drmana aja, itu baru data awal dan itupun yg request juga dr internal kemenkeu sendiri untuk pengembangan kasus fraud",Positif
Jak_kustar,@mulaigoyang @fajarnugros Kemenkeu bermasalah zaman Sby lgs dipecat akhirnya kabur ke Amrik. Skrg ditarik lagi 2 periode. Yg dibahas hambalang kerugian 8M apa ya lupa. Ini ratusan T. Wkwkwkwkwk makin mahir,Negatif
bonniebulb,@chenoa2104 @GeiszChalifah Intinya mau kriminalisasi Anies...lagi dicari2 motifnya... kenapa itu Kemenkeu yg segitu banyak trilyun ga dikerjain...jgn sampe kerja krn ada yg bayar ya,Negatif
collegemenfess,"[cm] temen temen di sini ada yang ikutan magang kemenkeu waktu batch 1 kemarin ngga ya? kalau ada rep ya, aku mau nanya nanya
terima kasih 🙏🏻",Positif
PajakBengkulu2,Acara ini ditujukan kepada para UMKM Binaan seluruh Instansi Kementerian Keuangan di Provinsi Bengkulu. KPP Pratama Bengkulu Dua bersama Kemenkeu Satu Bengkulu mendukung pemberdayaan UMKM di Provinsi Bengkulu.,Positif
CacingWormy,"@heru_hasnul @tukangbaca2000 @PartaiSocmed Kata siapa ada tekanan hebat? Kenapa sekarang ada kasus 349 T di kemenkeu, KPK gak ngambil kasus itu? Terus kalo seandainya gak ada kasus penganiayaan David, apakah KPK bisa nangkep Rafael? Selama ini KPK ngapain aja?",Positif
AaGemss,"@KemenkeuRI Mau menarik simpati umat Islam? gak gini caranya bro haha

Kemenkeu ini ibarat orang yang udah mau tenggelam, apa aja dipegang dan dilakuin biar bisa selamat 🤣",Negatif
AchilDawn,"@Fahrihamzah Dulu saya respect liat abangda, tp dah nyerang pribadi, hilang smua respectnya. Kalau abang tau ada korupsi di esdm atau kemenkeu. Kenapa juga ga abang bersuara lantang di KPK tanpa hrs tnggu dukungan bang didu. ADA APA DENGAN Abang FH?",Negatif
dmtrowo,"@RezaMuhammadN lha ada kasus oknum kemenkeu, masalahe neng perilaku maling e.. kok yg disosialisasikan jangan hedon jangan flexing, moso logikane ngono😂",Negatif
Pitoeng206,"@Leobatam2022 @PartaiSocmed @kurawa Yg pas kasus pengobatan David,dia nyaranin berobat ke singapura,biaya pengobatannya karna ini darirat ditalangin dulu ama Kemenkeu nanti dibicarakan dengan pihak Mario. pernyataan ini mercerminkankegoblokan yg paripurna😂",Negatif
NFaisal07,"@ocongBoyy Susah amat sih minta bukti aja ke PPATK, rafael alun dan pegawai kemenkeu 349 T aja cepat kok dapat bukti dari PPATK. Apalagi skrg pak Mahfud koordinator yg membawahi PPATK.",Negatif
HaderaH4,"@kumparan Super betul pak. Usul saja : klw bs intenskan pengawasan, sapatau sj ada ""mmmm"" sprti yg dialami Kemenkeu.🤔",Positif
