username,content,sentiment,token,stem
p023456, gpp yg penting org pegawai kemenkeu itu yg terlibat di trilyun itu dipenjara dulu baru lapor spt,Positif,"['tidak apa-apa', 'orang', 'pegawai', 'kemenkeu', 'terlibat', 'trilyun', 'dipenjara', 'lapor']","['tidak apa', 'orang', 'pegawai', 'kemenkeu', 'libat', 'trilyun', 'penjara', 'lapor']"
masharyanto,seumpama mario dandy tidak berulah akankan kemenkeu berubah,Negatif,"['seumpama', 'mario', 'dandy', 'berulah', 'akankan', 'kemenkeu', 'berubah']","['umpama', 'mario', 'dandy', 'ulah', 'akan', 'kemenkeu', 'ubah']"
msaid_didu,sepertinya pengembangan opini akan kehebatan ibu sri mulyani dimanfaatkan oleh pegawai kemenkeu yg nakal untuk merampok keuangan negara sementara bu sri menikmati pujian tsb dan lalai mengawasi anak buah,Positif,"['pengembangan', 'opini', 'kehebatan', 'sri', 'mulyani', 'dimanfaatkan', 'pegawai', 'kemenkeu', 'nakal', 'merampok', 'keuangan', 'negara', 'bu', 'sri', 'menikmati', 'pujian', 'tsb', 'lalai', 'mengawasi', 'anak', 'buah']","['kembang', 'opini', 'hebat', 'sri', 'mulyani', 'manfaat', 'pegawai', 'kemenkeu', 'nakal', 'rampok', 'uang', 'negara', 'bu', 'sri', 'nikmat', 'puji', 'tsb', 'lalai', 'awas', 'anak', 'buah']"
SaifuddinSay, persis kayak transaksi ilegal triliun di kemenkeu malingnya diangkat jadi pejabat ,Negatif,"['persis', 'kayak', 'transaksi', 'ilegal', 'triliun', 'kemenkeu', 'malingnya', 'diangkat', 'pejabat']","['persis', 'kayak', 'transaksi', 'ilegal', 'triliun', 'kemenkeu', 'maling', 'angkat', 'jabat']"
transproyekata, mereka ini juga gak kalah sengsara kerja lembur sampe malam kayak petugas pajak biji mata sama² melotot depan monitor harusnya dirayakan juga dengan apresiasi tinggi dari entah kemenkeu atau dikbudnas,Positif,"['gak', 'kalah', 'sengsara', 'kerja', 'lembur', 'malam', 'kayak', 'petugas', 'pajak', 'biji', 'mata', 'sama²', 'melotot', 'monitor', 'dirayakan', 'apresiasi', 'kemenkeu', 'dikbudnas']","['gak', 'kalah', 'sengsara', 'kerja', 'lembur', 'malam', 'kayak', 'tugas', 'pajak', 'biji', 'mata', 'sama', 'melotot', 'monitor', 'raya', 'apresiasi', 'kemenkeu', 'dikbudnas']"
rudijntm, buktiin om rizal t drmana aja itu baru data awal dan itupun yg request juga dr internal kemenkeu sendiri untuk pengembangan kasus fraud,Positif,"['buktiin', 'om', 'rizal', 't', 'drmana', 'data', 'itupun', 'request', 'dr', 'internal', 'kemenkeu', 'pengembangan', 'fraud']","['buktiin', 'om', 'rizal', 't', 'drmana', 'data', 'itu', 'request', 'dr', 'internal', 'kemenkeu', 'kembang', 'fraud']"
Jak_kustar, kemenkeu bermasalah zaman sby lgs dipecat akhirnya kabur ke amrik skrg ditarik lagi periode yg dibahas hambalang kerugian m apa ya lupa ini ratusan t wkwkwkwkwk makin mahir,Negatif,"['kemenkeu', 'bermasalah', 'zaman', 'sby', 'lgs', 'dipecat', 'kabur', 'amrik', 'skrg', 'ditarik', 'periode', 'dibahas', 'hambalang', 'kerugian', 'm', 'iya', 'lupa', 'ratusan', 't', 'wkwkwkwkwk', 'mahir']","['kemenkeu', 'masalah', 'zaman', 'sby', 'lgs', 'pecat', 'kabur', 'amrik', 'skrg', 'tarik', 'periode', 'bahas', 'hambalang', 'rugi', 'm', 'iya', 'lupa', 'ratus', 't', 'wkwkwkwkwk', 'mahir']"
bonniebulb, intinya mau kriminalisasi anieslagi dicari motifnya kenapa itu kemenkeu yg segitu banyak trilyun ga dikerjainjgn sampe kerja krn ada yg bayar ya,Negatif,"['intinya', 'kriminalisasi', 'anieslagi', 'dicari', 'motifnya', 'kemenkeu', 'segitu', 'trilyun', 'ga', 'dikerjainjgn', 'kerja', 'bayar', 'iya']","['inti', 'kriminalisasi', 'anieslagi', 'cari', 'motif', 'kemenkeu', 'segitu', 'trilyun', 'ga', 'dikerjainjgn', 'kerja', 'bayar', 'iya']"
collegemenfess,cm temen temen di sini ada yang ikutan magang kemenkeu waktu batch kemarin ngga ya kalau ada rep ya aku mau nanya nanya terima kasih ,Positif,"['cm', 'teman', 'teman', 'ikutan', 'magang', 'kemenkeu', 'batch', 'kemarin', 'iya', 'rep', 'iya', 'terima', 'kasih']","['cm', 'teman', 'teman', 'ikut', 'magang', 'kemenkeu', 'batch', 'kemarin', 'iya', 'rep', 'iya', 'terima', 'kasih']"
PajakBengkulu2,acara ini ditujukan kepada para umkm binaan seluruh instansi kementerian keuangan di provinsi bengkulu kpp pratama bengkulu dua bersama kemenkeu satu bengkulu mendukung pemberdayaan umkm di provinsi bengkulu,Positif,"['acara', 'umkm', 'binaan', 'instansi', 'kementerian', 'keuangan', 'provinsi', 'bengkulu', 'kpp', 'pratama', 'bengkulu', 'kemenkeu', 'bengkulu', 'mendukung', 'pemberdayaan', 'umkm', 'provinsi', 'bengkulu']","['acara', 'umkm', 'bina', 'instansi', 'menteri', 'uang', 'provinsi', 'bengkulu', 'kpp', 'pratama', 'bengkulu', 'kemenkeu', 'bengkulu', 'dukung', 'daya', 'umkm', 'provinsi', 'bengkulu']"
